Mismatch Type,Position,t-test p-value,Negative log(p-value),Mean Delta LFC,cfd,Total number of guides
rG:dT,10,0.492024003,0.30801371,0.228559302,0.933333333,15
rG:dT,12,0.077188187,1.112449158,0.71138873,0.933333333,15
rG:dT,17,0.031899123,1.49622126,0.621936479,0.933333333,15
rG:dT,9,0.002571371,2.589835194,1.401280119,0.642857143,14
rG:dT,11,0.197355178,0.704751474,0.135342548,1,14
rG:dT,2,0.271573967,0.566111863,0.447096792,0.846153846,13
rG:dT,13,0.186876469,0.72844538,0.503912308,0.923076923,13
rG:dT,18,0.016317086,1.787357406,1.54012986,0.692307692,13
rG:dT,6,0.226518006,0.644897269,0.375357796,1,11
rG:dT,1,0.343477294,0.464101968,0.326573677,0.9,10
rG:dT,16,0.079939779,1.097237054,0.58347424,1,10
rG:dT,19,0.035666992,1.44773352,1.847126245,0.714285714,7
rU:dC,16,1.70E-07,6.769252024,2.650783475,0.346153846,26
rU:dC,2,0.090341719,1.044111652,0.617290401,0.84,25
rU:dC,5,0.000829366,3.081253555,1.6819354,0.64,25
rU:dC,1,0.085179025,1.069667334,0.054316655,0.956521739,23
rU:dC,13,5.58E-08,7.253536454,2.937079538,0.260869565,23
rU:dC,9,0.00491869,2.308150564,1.534365253,0.619047619,21
rU:dC,11,9.73E-06,5.011900666,2.958614513,0.4,20
rU:dC,15,8.99E-12,11.0461321,4.051749281,0.05,20
rU:dC,3,0.00049296,3.307188361,1.795098132,0.5,18
rU:dC,10,0.000675478,3.170388511,2.053084657,0.5,18
rU:dC,12,0.000526166,3.278877277,2.171597395,0.5,18
rU:dC,7,0.005181021,2.285584611,1.346803622,0.588235294,17
rU:dC,17,7.44E-08,7.128419738,3.703736797,0.117647059,17
rU:dC,20,7.68E-07,6.114734425,3.172717257,0.176470588,17
rU:dC,4,0.00956505,2.019312747,1.914224596,0.625,16
rU:dC,19,1.59E-06,5.79864373,3.126496193,0.25,16
rU:dC,8,0.052580476,1.279175487,1.288910111,0.733333333,15
rU:dC,14,8.60E-09,8.065251371,4.498263625,0,15
rU:dC,18,1.98E-05,4.703677039,2.854221245,0.333333333,15
rU:dC,6,0.00877226,2.056888518,1.839423828,0.571428571,14
rU:dG,19,4.34E-09,8.362946874,3.143559908,0.275862069,29
rU:dG,6,0.255184995,0.593144867,0.386041647,0.909090909,22
rU:dG,20,9.39E-11,10.02744715,3.677655687,0.090909091,22
rU:dG,18,9.26E-05,4.033379032,2.201950813,0.428571429,21
rU:dG,12,0.43571287,0.360799612,0.272924637,0.947368421,19
rU:dG,13,0.050839612,1.293797774,0.81596013,0.789473684,19
rU:dG,4,0.001067003,2.971834493,1.922154777,0.647058824,17
rU:dG,17,0.006342592,2.197733204,1.25513227,0.705882353,17
rU:dG,7,0.014090834,1.85106329,1.329332486,0.6875,16
rU:dG,10,0.000947403,3.023465179,2.31663498,0.533333333,15
rU:dG,11,0.004591013,2.338091514,1.473298154,0.666666667,15
rU:dG,16,0.002605284,2.584144847,1.894330986,0.666666667,15
rU:dG,1,0.14843535,0.82846266,0.490247313,0.857142857,14
rU:dG,2,0.037387225,1.427276768,0.746011113,0.857142857,14
rU:dG,3,0.011106705,1.95441477,1.688018051,0.428571429,14
rU:dG,5,0.36961293,0.432252845,0.182894749,1,14
rU:dG,8,0.324772591,0.48842063,0.14597373,1,14
rU:dG,14,9.07E-05,4.042375257,3.247477122,0.285714286,14
rU:dG,9,0.210421145,0.67691062,0.411519638,0.923076923,13
rU:dG,15,0.000617162,3.209600639,3.390519847,0.272727273,11
rU:dT,4,0.000881697,3.05468075,1.889740048,0.476190476,21
rU:dT,14,0.000291124,3.535922556,2.067714714,0.619047619,21
rU:dT,8,0.04597511,1.337477223,1.006852984,0.8,20
rU:dT,15,0.001118306,2.951439222,1.764403736,0.578947368,19
rU:dT,7,0.16550419,0.781191006,0.536955446,0.875,16
rU:dT,11,0.028202831,1.549707292,1.137090468,0.75,16
rU:dT,20,0.000897897,3.0467734,2.076606012,0.5625,16
rU:dT,6,0.073617056,1.133021554,0.702151711,0.866666667,15
rU:dT,12,0.017002236,1.769493953,1.157155285,0.8,15
rU:dT,17,0.001031843,2.986386331,2.258207563,0.533333333,15
rU:dT,3,0.033181922,1.479098467,0.985722294,0.714285714,14
rU:dT,5,0.004107785,2.386392298,1.546262057,0.5,14
rU:dT,9,0.281694413,0.550221766,0.420194663,0.928571429,14
rU:dT,10,0.286316392,0.543153787,0.441593032,0.857142857,14
rU:dT,2,0.136875003,0.863675858,0.724543079,0.846153846,13
rU:dT,13,0.001554351,2.808450807,1.546173698,0.692307692,13
rU:dT,18,0.006616778,2.179353435,1.996484344,0.666666667,12
rU:dT,16,0.027480599,1.560973809,1.211766377,0.909090909,11
rU:dT,1,0.44243651,0.354149042,0.255371663,1,9
rU:dT,19,0.001641456,2.784770691,2.735532613,0.285714286,7
